                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1571,                 1.9408,                  2.362,                 1.1374,                0.72059,                0.76562,                0.76033,                0.42465,                0.72059,                0.76562,                0.76554,                0.49843,                 1.1346,                 1.4049,                 1.6202,                 1.1509,             0.00065934,             0.00065934,             0.00065934
                      2,                 1.1457,                 1.5756,                 1.6478,                 1.1043,                0.67154,                0.60938,                0.69264,                0.47024,                0.85363,                    0.5,                0.67402,                0.43946,                 1.1314,                 1.6907,                 1.7163,                 1.1719,              0.0013041,              0.0013041,              0.0013041
                      3,                 1.1042,                 1.6408,                 1.4791,                 1.1136,                0.66302,                0.70713,                0.63161,                0.41481,                0.66302,                0.70713,                 0.6334,                0.42664,                 1.0888,                   1.61,                 1.6153,                 1.1291,              0.0019269,              0.0019269,              0.0019269
                      4,                 1.1209,                 1.6284,                 1.3867,                 1.1001,                0.85865,                0.78125,                0.84625,                0.65197,                0.85865,                0.78125,                 0.8379,                0.62498,                0.87954,                 1.2466,                 1.1966,                 1.0015,               0.001901,               0.001901,               0.001901
                      5,                 1.1034,                 1.5951,                 1.3768,                 1.0894,                0.82494,                0.80997,                0.84345,                0.60615,                0.82494,                0.80997,                0.84345,                0.61294,                0.97522,                 1.2973,                 1.1806,                 1.0778,               0.001868,               0.001868,               0.001868
                      6,                 1.1026,                 1.7137,                 1.3192,                 1.1237,                0.82955,                0.76053,                 0.8467,                0.59149,                0.82955,                0.76053,                0.83261,                0.56724,                0.99586,                  1.344,                 1.2539,                 1.0696,               0.001835,               0.001835,               0.001835
                      7,                  1.108,                 1.5599,                 1.2866,                 1.0846,                0.84111,                  0.875,                0.89598,                0.64308,                0.84111,                  0.875,                 0.8897,                0.65752,                0.96959,                 1.2756,                 1.1597,                 1.0808,               0.001802,               0.001802,               0.001802
                      8,                 1.0222,                 1.3356,                 1.1877,                 1.0776,                0.81654,                0.78125,                0.86744,                0.65473,                0.76684,                0.89062,                0.87028,                  0.652,                0.95135,                 1.2375,                 1.2992,                  1.057,               0.001769,               0.001769,               0.001769
                      9,                 1.0059,                 1.3493,                 1.1533,                 1.0437,                0.80655,                0.79688,                0.85464,                0.61338,                0.80655,                0.79688,                0.85089,                0.59235,                 1.0227,                 1.3247,                 1.2224,                 1.1007,               0.001736,               0.001736,               0.001736
                     10,                  1.078,                 1.3759,                 1.2239,                 1.1349,                 0.9688,                0.78125,                0.91149,                0.67192,                 0.9688,                0.78125,                0.91149,                0.65393,                0.95252,                 1.1808,                 1.0499,                  1.078,               0.001703,               0.001703,               0.001703
                     11,                 1.0037,                 1.2324,                 1.2684,                   1.02,                0.84809,                0.78516,                0.85992,                0.63421,                0.84809,                0.78516,                0.86952,                  0.654,                 1.0379,                 1.1587,                   1.11,                 1.0875,                0.00167,                0.00167,                0.00167
                     12,                0.98944,                 1.1934,                 1.1212,                 1.0548,                0.97991,                 0.7623,                0.90389,                 0.6775,                0.97991,                 0.7623,                0.90516,                0.65823,                0.85393,                 1.1461,                0.93959,                0.99885,               0.001637,               0.001637,               0.001637
                     13,                 1.0335,                 1.2686,                 1.1134,                 1.0788,                0.85428,                  0.875,                0.89604,                0.63502,                0.85428,                  0.875,                0.89904,                0.65529,                 1.1084,                 1.0851,                 1.0272,                 1.1417,               0.001604,               0.001604,               0.001604
                     14,                0.96951,                 1.1178,                 1.0479,                 1.0418,                0.90399,                0.89062,                0.94506,                0.68545,                0.90399,                0.89062,                0.94506,                0.69237,                 1.0063,                 1.1124,                0.94295,                 1.1419,               0.001571,               0.001571,               0.001571
                     15,                0.98682,                  1.282,                  1.231,                 1.0364,                0.90027,                0.84636,                   0.92,                0.65222,                0.90027,                0.84636,                0.91717,                0.64076,                 1.0189,                 1.1841,                 1.0196,                 1.1418,               0.001538,               0.001538,               0.001538
                     16,                0.97344,                 1.2739,                 1.0813,                 1.0464,                0.90196,                0.86251,                0.93558,                0.70085,                0.90196,                0.86251,                0.92832,                0.69174,                0.90355,                0.93183,                0.96998,                 1.0657,               0.001505,               0.001505,               0.001505
                     17,                0.95213,                 1.1538,                 1.0467,                 1.0439,                0.85658,                0.92188,                0.91708,                0.65781,                0.84054,                0.90625,                0.91113,                0.66638,                0.96398,                 1.1422,                0.96284,                 1.0726,               0.001472,               0.001472,               0.001472
                     18,                0.92706,                 1.0399,                0.91512,                 1.0082,                0.90562,                0.89966,                 0.9297,                0.70146,                0.90562,                0.89966,                0.92921,                0.71384,                0.88585,                0.95817,                0.85548,                 1.0255,               0.001439,               0.001439,               0.001439
